iter	Passed	Remaining
0	1	1094
1	1	769
2	1	655
3	2	596
4	2	561
5	3	536
6	3	524
7	4	519
8	4	506
9	5	498
10	5	491
11	5	485
12	6	482
13	7	516
14	7	511
15	8	508
16	8	501
17	9	498
18	9	495
19	10	490
20	10	488
21	10	483
22	11	478
23	12	504
24	12	501
25	13	497
26	13	496
27	14	496
28	14	490
29	15	489
30	15	487
31	16	485
32	16	481
33	16	479
34	17	477
35	17	479
36	18	478
37	18	477
38	19	476
39	19	471
40	20	468
41	20	468
42	20	466
43	21	465
44	21	463
45	22	464
46	22	462
47	23	460
48	23	459
49	24	457
50	24	456
51	24	455
52	25	454
53	25	454
54	26	453
55	26	452
56	27	452
57	27	452
58	28	449
59	28	448
60	29	447
61	29	447
62	30	446
63	30	445
64	30	444
65	31	444
66	31	443
67	32	444
68	32	442
69	33	442
70	34	445
71	34	446
72	35	445
73	35	445
74	36	444
75	36	444
76	36	443
77	37	442
78	37	442
79	38	441
80	38	440
81	39	439
82	39	439
83	40	438
84	40	438
85	41	437
86	41	436
87	42	435
88	42	434
89	42	434
90	43	433
91	43	433
92	44	433
93	44	433
94	45	434
95	46	433
96	46	432
97	46	431
98	47	430
99	47	429
100	48	429
101	48	428
102	49	427
103	49	426
104	49	425
105	50	425
106	50	424
107	51	423
108	51	423
109	52	422
110	52	422
111	53	423
112	54	423
113	54	424
114	55	423
115	55	422
116	56	422
117	56	422
118	57	422
119	57	422
120	58	421
121	58	421
122	59	421
123	59	421
124	60	420
125	60	420
126	61	420
127	61	420
128	62	419
129	62	418
130	62	417
131	63	417
132	63	416
133	64	415
134	64	415
135	65	414
136	65	414
137	66	414
138	66	413
139	67	412
140	67	412
141	68	411
142	68	411
143	69	412
144	69	411
145	70	410
146	70	410
147	71	410
148	71	410
149	72	409
150	72	409
151	73	408
152	73	407
153	74	408
154	74	408
155	75	406
156	75	405
157	76	405
158	76	404
159	76	404
160	77	403
161	77	403
162	78	402
163	78	402
164	80	405
165	80	406
166	81	405
167	81	405
168	82	404
169	82	403
170	83	403
171	83	402
172	84	402
173	84	401
174	85	400
175	85	400
176	85	399
177	86	399
178	86	398
179	87	397
180	87	397
181	88	396
182	88	396
183	89	395
184	89	395
185	90	395
186	90	394
187	91	394
188	91	393
189	92	393
190	92	393
191	93	392
192	93	392
193	94	391
194	94	391
195	95	391
196	95	390
197	96	390
198	96	390
199	97	389
200	97	388
201	98	388
202	98	387
203	99	387
204	99	386
205	100	386
206	100	386
207	101	385
208	101	384
209	102	384
210	102	383
211	102	382
212	103	381
213	103	381
214	104	380
215	104	380
216	105	379
217	105	378
218	106	378
219	106	377
220	107	377
221	107	376
222	108	376
223	108	375
224	108	375
225	109	374
226	109	374
227	110	373
228	110	373
229	111	373
230	111	372
231	112	372
232	112	371
233	113	371
234	113	370
235	114	370
236	114	369
237	115	369
238	115	368
239	116	368
240	116	367
241	117	367
242	117	367
243	118	366
244	118	366
245	119	365
246	120	365
247	120	365
248	121	365
249	121	364
250	122	364
251	122	363
252	123	363
253	123	363
254	124	362
255	124	362
256	125	361
257	125	361
258	126	360
259	126	360
260	127	359
261	127	359
262	128	358
263	128	358
264	129	358
265	129	357
266	130	357
267	131	358
268	131	358
269	132	358
270	133	358
271	133	358
272	134	357
273	134	356
274	135	356
275	135	355
276	136	355
277	136	355
278	137	354
279	137	354
280	138	353
281	138	353
282	139	353
283	139	352
284	140	351
285	140	351
286	141	350
287	141	350
288	142	349
289	142	349
290	143	348
291	143	348
292	144	347
293	144	347
294	145	346
